,Unnamed: 0,YEAR,STATEFIP,Inc_F,Inc_M,Agelt30,Child,Child5,White,Black,AmIndian_AlaskaNative,Chinese,Japanese,SEX,Prop_F,College,Mar,Constr,GWG,party_simplified,state,Year_imp,Pay_Transp,Empt,GDP_pc,GWG_calc,log_GDP,DEMOCRAT
12,12,2010,16,12040.186087727072,21088.764436567715,23.48249889233496,46.52193176783341,15.758381332151824,93.78230689706099,0.3987594151528578,1.0485895731797372,0.2658396101019052,0.16245753950671984,6771,47.05361098803722,55.265101166740514,66.53374686161571,9.17146654851573,57.09289476840807,REPUBLICAN,IDAHO,,0,55.30350727868711,35388.69,42.90710523159192,10.474147556548152,0
13,13,2010,17,16889.152220415846,27421.56139300077,23.629673996748522,45.20578420467186,12.347052280311457,82.80653717806109,8.037990930093265,0.21391289466929067,0.8197142123727218,0.142038162060409,58435,48.68315222041585,60.90699067339779,58.771284333019594,5.359801488833747,61.59077515085164,DEMOCRAT,ILLINOIS,2003.0,1,56.46958131450028,51897.61,38.40922484914836,10.857028017997303,1
14,14,2010,18,14066.281833963034,22857.308962183877,23.30916641138228,44.38884917798428,12.767623132169236,90.59191939820961,5.330337996528132,0.22805405221416658,0.3301678069369277,0.07147962830593281,29379,48.3985159467647,51.70700159978216,60.584090677014196,5.657102011640968,61.53953580990177,DEMOCRAT,INDIANA,,0,54.314846727282955,43535.16,38.46046419009823,10.681324166459822,1
15,15,2010,19,13475.87730222193,19987.66730025562,22.422494592646,42.28878547551943,13.901815560070787,95.7265517467392,1.140460116667759,0.20973979157108213,0.20973979157108213,0.013108736973192633,15257,48.89558891000852,54.06043127744642,64.29180048502327,6.724782067247821,67.42096063430868,DEMOCRAT,IOWA,,0,63.931816341775765,46622.34,32.579039365691315,10.749835104380312,1
16,16,2010,20,14008.62945667482,22619.47179601216,23.36372396412423,42.583944852123636,13.260692313394115,90.9569342524646,3.1205989177970497,0.9265436216737084,0.3039063079089764,0.05188644281372767,13491,48.587947520569266,58.238825883922615,63.983396338299606,6.90830924319917,61.93172671319655,REPUBLICAN,KANSAS,,0,63.04077367186959,44990.1,38.06827328680346,10.714197744548906,0
17,17,2010,21,14224.38432529923,22320.255779636005,23.134940154123626,44.389790676067115,12.318959392250095,91.30458545116686,5.880745477400667,0.19128818932065367,0.19675356615838663,0.09837678307919331,18297,48.60906159479696,52.45668688856097,61.56747007706181,6.164945072962781,63.72859014580342,REPUBLICAN,KENTUCKY,,0,53.488335191460706,38270.71,36.27140985419658,10.552440130638562,0
18,18,2010,22,14483.822655476202,24474.755981858936,23.885732158682167,45.03987905958401,12.724808424125527,71.67804827190741,23.41135380284627,0.7037481103060002,0.338841682739926,0.03649064275660741,19183,48.840118855236405,50.93051139029349,56.925402700307565,8.048793202314549,59.178619252473176,REPUBLICAN,LOUISIANA,2013.0,0,55.814383333315,49578.02,40.821380747526824,10.811302869333893,0
19,19,2010,23,14136.208245070882,19155.46846993645,18.608440606159363,40.932051490956496,9.499755580902722,96.70848948997882,0.6029004399543751,0.6843734723806421,0.2933029167345609,0.0,6137,50.13850415512465,54.86394003584813,60.909239041877136,9.597523219814242,73.79724629161095,DEMOCRAT,MAINE,2009.0,1,59.603841672246695,39360.46,26.202753708389054,10.580517038089766,1
20,20,2010,24,22661.558635542588,32072.23044324024,21.90148673058219,45.06738918994025,11.945949701264416,66.90982353758511,22.582325969153814,0.2674725580102821,1.5249409476170626,0.14936779213561205,28788,49.888842573294426,64.14825621786855,58.124913158260384,5.811449214950674,70.65788167008786,DEMOCRAT,MARYLAND,2017.0,0,57.791463630358294,54369.97,29.342118329912132,10.903567258364939,1
21,21,2010,25,20577.871248879685,30933.76641839478,22.4464567172482,43.45582099700219,11.36075655963161,85.98139506134684,4.7192261334487124,0.1699786754025404,1.8141360447507495,0.12980189758012176,32357,50.31677844052292,66.61618815094107,56.79451123404518,4.781036560867818,66.52235932266896,DEMOCRAT,MASSACHUSETTS,2012.0,0,62.675346154080444,62611.81,33.47764067733103,11.044709197441444,1
22,22,2010,26,15108.381761265742,23204.89174694848,21.861729233905216,45.446383071659106,11.621247785677886,88.01960736732268,6.867431871678517,0.713436385255648,0.43679778689121307,0.10434613797956757,41209,49.530442379091944,58.023732679754424,60.865344948918924,5.64439806838312,65.10860695246528,DEMOCRAT,MICHIGAN,1982.0,1,51.00627207204343,39487.89,34.89139304753471,10.583749321604778,1
